name,location,size,family_names,family_descriptions
À fleur de mur,PARIS,10-20,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Academia Christiana,NATIONAL,<500,Catholique,"Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue."
Action française,NATIONAL,≈1000,Monarchiste,"Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux."
Active club,NATIONAL,≈100,Nationaliste|Catholique|Monarchiste|Confusionniste|Identitaire,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Les catholiques-intégristes sont en guerre contre la séparation des cultes et de l’État et véhiculent un discours ultra-conservateur. Ils sont par exemple contre l’avortement et le mariage homosexuel mais aussi les étrangers. S’ils sont souvent liés aux monarchistes, les deux principaux groupes de la mouvance en France sont Civitas, dissous par le gouvernement en 2023, et la Fraternité Saint-Pie X, qui font des processions religieuses et des prières dans les rues. Dans certains de ces mouvements, la figure du Maréchal Pétain et du régime de Vichy est encore défendue.|Chez les nostalgiques du royaume de France, on trouve deux écoles principales : les orléanistes et les légitimistes. Chacune défend son poulain, qu’elle rêve de placer sur le trône. Les deux courants prônent une vision réactionnaire de la société et un catholicisme très conservateur. L’Action française – qui est le plus ancien mouvement d’extrême droite en activité dans l’Hexagone et le groupe le plus important à la droite du Rassemblement national – souhaite par exemple un retour du roi pour une « régénération organique de la Nation » et voit donc certaines parties de la population française comme « un corps étranger ». L’AF est aussi l’une des principales écoles de formation de cadres radicaux.|Lʼextrême droite, pour ratisser au plus large, sʼempare parfois de thématiques voire de doctrines issus d’autres champs politiques. La devise initiale d’Egalité & Réconciliation, le groupuscule d’Alain Soral, illustre parfaitement ce bricolage idéologique : « La gauche du travail & la droite des valeurs. » Nous avons choisi de réunir ces organisations aux idéologies composites au sein d’une même catégorie, bien quʼil n’y ait pas d’unité doctrinale forte entre elles.|Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Alerion,THIONVILLE,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Allobroges Bourgoin,BOURGOIN-JALLIEU,<10,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
An Tour-Tan,VANNES,≈20,Nationaliste|Identitaire,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…).|Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
Animus fortis,BOURGES,10-15,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Aquila popularis,NICE,≈20,Nationaliste,"Ces groupuscules se revendiquent d’un fascisme rénové qui emprunterait à la gauche certaines de ses thèses sociales. Sur les questions internationales, ils se revendiquent comme anti-impérialistes et antisionistes et défendent les régimes « nationalistes du tiers-monde ». Leurs membres reprennent souvent les codes culturels des hooligans et multiplient les actions violentes visant à démontrer leur domination sur l’espace public (agression de militants politiques, de personnes racisées ou LGBT…)."
Argos,NATIONAL,50-60,Identitaire,"Têtes d’affiche spécialistes des actions spectaculaires, ce quʼon nomme « lagit-prop », les identitaires ont été les figures de proue de l’extrême droite radicale durant les années 2010. La dissolution en 2021 de leur navire amiral Génération identitaire a mis un coup à la mouvance, mais leurs idées ont bien infusé, notamment au Rassemblement national. Suprémacistes, mais plus discrètement, les zids défendent une identité européenne chrétienne qui se ferait « grand-remplacer » par les immigrés extra-européens. Ils prônent également la remigration et la fermeture des frontières."
