name,url,description,number_of_members,location,notable_events,recurring_events,persons_of_interest,associated_articles,image_carousel
À fleur de mur,https://cartofaf.streetpress.com/liste/a-fleur-de-mur/,"À fleur de mur est une initiative lancée par des militants parisiens liés à Academia Christiana. Son but principal est l’installation de statues de la Vierge Marie dans les niches murales de Paris, statues que ce collectif fait bénir lors des événements annuels d’Academia Christiana. Outre ces statues, son but est de re-christianiser la capitale avec des collages ou des affichages.",Ils sont entre 10 et 20.,Paris,,"Ils participent aux universités d’été d’Academia Christiana, où ils font notamment bénir leurs statues.",Matthieu Raffray — Abbé intégriste,"Dans les catacombes, le fight club des radicaux d’extrême droite (https://www.streetpress.com/sujet/1700562976-catacombes-fight-club-radicaux-extreme-droite-marc-cacqueray)",https://cartofaf.streetpress.com/images/groups/a-fleur-de-mur/logo.webp|https://cartofaf.streetpress.com/images/groups/a-fleur-de-mur/news/streetpress.webp
Academia Christiana,https://cartofaf.streetpress.com/liste/academia-christiana/,"Cela fait plus de dix ans qu’Academia Christiana essaime dans les milieux d’extrême droite. Cet « institut de formation » fondé en 2013 par Julien Langella, l’un des fondateurs de Génération identitaire, est un des pivots de la « rechristianisation » de l’extrême droite radicale française ces dernières années. Son université d’été est un point de passage obligé pour l’ensemble de la mouvance, où se croisent aussi bien des identitaires que des néofascistes, des néonazis ou des royalistes. Marion Maréchal-Le Pen a même failli y faire une apparition en 2019, avant d’annuler sa venue sous la pression médiatique.

Processions, pèlerinages, mais aussi vidéos « humoristiques » sur les réseaux sociaux… Academia Christiana fait tout pour se normaliser. Pourtant, en décembre 2023, Gérald Darmanin a annoncé que l’organisation était visée par une procédure de dissolution, en raison notamment de son antisémitisme, qui n’est guère caché. À ce jour, la procédure n’a pas encore abouti, et l’université d’été 2024 d’Academia Christiana a revendiqué « des affluences records ».",Ils ont revendiqué la venue de 600 personnes lors de leur université d’été 2023.,"Toulouse, Laval, Sées, Lyon, Paris, Rennes, La Roche-sur-Yon",,"Ils organisent chaque année, au moins jusqu’à leur potentielle dissolution, leur université d’été.",Victor Aubert — Président de l’association|Julien Langella — Vice-président|Matthieu Raffray — Abbé intégriste,"Plongée au sein d’Academia Christiana, mouvement catholique et nationaliste placé dans le radar des services de renseignement (https://www.francetvinfo.fr/societe/religion/enquete-france-2-plongee-au-sein-d-academia-christiana-mouvement-catholique-et-nationaliste-place-dans-le-radar-des-services-de-renseignement_4965042.html)|Communautarisme : quand l’extrême droite s’organise pour vivre entre blancs (https://www.streetpress.com/sujet/1656954223-communautarisme-extreme-droite-organise-vivre-entre-blancs-separatistes-secession)|Qu’est-ce qu’Academia Christiana, mouvement d’extrême droite que veut dissoudre Gérald Darmanin ? (https://www.liberation.fr/politique/quest-ce-quacademia-christiana-mouvement-dextreme-droite-que-veut-dissoudre-gerald-darmanin-20231211_6II7JM63HFFTLMMRNR6CJMFDYQ/)|Sous la menace d’une dissolution, les identitaires cathos d’Academia Christiana multiplient les associations (https://www.liberation.fr/politique/sous-la-menace-dune-dissolution-les-identitaires-cathos-dacademia-christiana-multiplient-les-associations-20250824_MVPUDQDENZADPFLZTBBM6ULQ2I/?redirected=1)",https://cartofaf.streetpress.com/images/groups/academia-christiana/logo.webp|https://cartofaf.streetpress.com/images/groups/academia-christiana/news/franceinfo.webp|https://cartofaf.streetpress.com/images/groups/academia-christiana/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/academia-christiana/news/liberation.webp|https://cartofaf.streetpress.com/images/groups/academia-christiana/news/liberation.webp
Action française,https://cartofaf.streetpress.com/liste/action-francaise/,"Lancée en 1899 en plein cœur de l’affaire Dreyfus, et de sa controverse antisémite, l’Action française est le plus ancien mouvement d’extrême droite en activité. Précisément, sa ligue a été interdite par les autorités suite aux émeutes du 6 février 1934, puis le mouvement est frappé du sceau de l’infamie pour « collaboration » au sortir de la Seconde Guerre mondiale avec notamment la condamnation de Charles Maurras. Mais l’AF a bien vite repris ses activités, dès 1947, et a depuis échappé à la dissolution.

Elle prône la restauration d’une monarchie catholique en France et s’oppose à l’immigration et considère les musulmans comme des ennemis religieux de l’intérieur. Globalement ultra-conservatrice, l’AF est anti-féministe et anti-LGBT+.

L’Action française est aujourd’hui l’une des principales écoles de cadre de l’extrême droite. Rappelons que c’est à l’Action française que Jean-Marie Le Pen a commencé à militer. Elle a vu passer des jeunes qui ont ensuite joué des rôles clefs au sein de la mouvance radicale, comme Alice Cordier (leader de Nemesis), Thaïs d’Escuffon (ex-porte parole de Génération identitaire), Marc de Cacqueray-Valménier (leader du Gud) pour ne citer que les plus récents. Mais aussi des profils plus institutionnels comme Charlotte d’Ornellas (journaliste au JDD) ou de nombreux militants et cadre locaux du RNJ.","L’AF revendique 3.000 adhérents, ils seraient en réalité environ 1.000. La plupart sont des cotisants passifs. L’organisation compte au maximum 2 à 300 membres réellement actifs.","Bourg-en-Bresse, Moulins, Troyes, Rodez, La Rochelle, Dijon, Valence, Toulouse, Bordeaux, Montpellier, Rennes, Grenoble, Nantes, Orléans, Agen, Angers, Reims, Nancy, Bar-le-Duc, Vannes, Metz, Lille, Avesnes-sur-Helpe, Cambrai, Beauvais, Arras, Boulogne-sur-Mer, Clermont-Ferrand, Pau, Tarbes, Perpignan, Strasbourg, Mulhouse, Lyon, Chambéry, Rouen, Melun, Versailles, Amiens, Toulon, Avignon, La Roche-sur-Yon, Poitiers, Limoges, Nanterre, Cergy, Paris, Aix, Marseille, Périgueux, Nice",L’Action française a été très impliquée dans la Manif pour Tous.,,"Olivier Perceval — Secrétaire général, assume la direction quotidienne du mouvement|Henri Bec — Président, magistrat à la retraite","L’Action française, école des cadres réactionnaires (https://www.streetpress.com/sujet/1687965898-action-francaise-ecole-cadres-reactionnaires-darmanin-ministres)|Après une action anti-avortement, neuf militants d’extrême droite jugés en Vendée (https://www.streetpress.com/sujet/1734693347-action-francaise-anti-avortement-neuf-militants-extreme-droite-juges-ivg-vendee-simone-veil)",https://cartofaf.streetpress.com/images/groups/action-francaise/logo.webp|https://cartofaf.streetpress.com/images/groups/action-francaise/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/action-francaise/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/action-francaise/news/streetpress.webp
Active club,https://cartofaf.streetpress.com/liste/active-club/,"Les Actives clubs ne sont pas, à proprement parler, des organisations militantes : l’organisation n’a ni structure formelle, ni doctrine, ni revendication. Il s’agit plutôt d’une inter-faf organisée à l’échelon local. Ils se retrouvent entre militants de différents groupuscule ou simples sympathisants pour faire du sport, s'entraîner à la baston, parfois à l’usage des armes et renforcer la camaraderie. Le modèle (et la marque) viennent des Etats-Unis, il a essaimé en France mais aussi dans la plupart des pays d’Europe.",Une centaine,"Le Havre, Castres, Rouen, Vannes, Montpellier, Saint Malo, Grenoble, Carpentras, Bourgogne-Fresne, Nantes, Bordeaux, Arras, Nice, Dijon, Montbéliard, Orléans, Mâcon, Avignon, Saint-Brieuc, Paris, Périgueux, Aix, Marseille","En France, ils ont revendiqué via Telegram une poignée d’agressions de militants de gauche.",,Robert Rundo — Le suprémaciste américain a imaginé et fondé les actives-clubs. Il est aujourd’hui détenu pour son implication présumée dans des violences à Charlotesville en 2017 qui ont causé un mort et 35 blessés.,"Extrême droite : entre suprémacisme et violence, Active club France bande les muscles (https://www.liberation.fr/politique/extreme-droite-entre-supremacisme-et-violence-active-club-france-bande-les-muscles-20240330_MSQWXYQ5LBFBXFTKSW24YRQ7GQ/?redirected=1)|« Ici c’est comme l’Allemagne nazie » : un homme roué de coups par des militants d’extrême droite à Mâcon (https://www.streetpress.com/sujet/1713455251-agression-violence-coups-militants-extreme-droite-macon-active-club-france)|« Nous défendons le droit des blancs de vivre » : trois suprémacistes jugés pour violences aggravées en Bretagne (https://www.streetpress.com/sujet/1715936457-supremacistes-extreme-droite-bretagne-saint-brieuc-proces-violence)|Les Active clubs, fight clubs néonazis importés des USA (https://www.streetpress.com/sujet/1733400275-active-clubs-fight-neonazis-importes-usa-supremacistes-blancs-rundo-france-europe)",https://cartofaf.streetpress.com/images/groups/active-club/logo.webp|https://cartofaf.streetpress.com/images/groups/active-club/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/active-club/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/active-club/news/liberation.webp|https://cartofaf.streetpress.com/images/groups/active-club/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/active-club/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/active-club/news/streetpress.webp
Alerion,https://cartofaf.streetpress.com/liste/alerion/,"Avec un tel logo, difficile de se tromper sur l’obédience idéologique des néofascistes de l’Alérion. Très fans des années 30 en Italie, ce tout petit groupuscule mosellan aime bien voyager chez nos voisins transalpins, et invite très régulièrement pour des conférences un certain Gabriele Adinolfi, théoricien néofasciste, ancien du MSI italien et bon ami des anciens gudards Axel Loustau et Frédéric Chatillon.",Thionville,,,,NOMBRE DE MEMBRES — Ils sont une dizaine.,,https://cartofaf.streetpress.com/images/groups/alerion/logo.webp
Allobroges Bourgoin,https://cartofaf.streetpress.com/liste/allobroges-bourgoin/,"Plutôt que de puiser dans une esthétique pseudo-latine, ces néofascistes de Bourgoin-Jailleu ont choisi un nom faisant référence à la tribu gauloise locale qui résidait dans le Nord-Isère. Lancé pile à temps pour le défilé néofasciste du C9M 2025, le groupuscule entretient ses liens avec l’Active club local, des groupuscules néofascistes répartis sur tout le territoire, et bien évidemment avec les hools du coin, les Bourgoin defenders.",Bourgoin-Jallieu,,,"Ils participent au défilé parisien, aux alentours du 9 mai, pour commémorer la mort du militant néofasciste Sébastien Deyzieu.",NOMBRE DE MEMBRES — Ils sont moins d’une dizaine,,https://cartofaf.streetpress.com/images/groups/allobroges-bourgoin/logo.webp
An Tour-Tan,https://cartofaf.streetpress.com/liste/an-tour-tan/,"Derrière son apparence nationaliste bretonne et identitaire, An Tour-Tan, « le phare » en breton, est un groupuscule néofasciste tout ce qu’il y a de plus classique, implanté depuis 2022 autour de Vannes. Dans ses rangs, on retrouve des néonazis, des violents, des anciens du parti national breton (parti dont a été membre le néonazi Boris Le Lay) et même des survivalistes.

Le groupuscule, dont le logo est librement inspiré de celui du Bastion social, revendique notamment d’avoir participé aux violences durant les manifestations de Callac et de Saint-Brévin-les-Pins contre des centres d’accueil pour exilés.",Ils sont une vingtaine.,Vannes,"Ils ont participé fin 2022 et en 2023 aux manifestations violentes à Callac et Saint-Brévin-les-Pins contre des centres d’accueil pour exilés, parfois aux côtés d’autres groupes néofascistes.",,Enguerrand Pacotte|Logan Gourenez (Un pseudonyme)|Erwin Thorak (Un pseudonyme),"Extrême droite. Qui est An Tour-Tan, le groupuscule breton présent dans le cortège d’ultradroite à Paris ? (https://france3-regions.francetvinfo.fr/bretagne/morbihan/vannes/extreme-droite-qui-est-an-tour-tan-le-groupuscule-breton-present-dans-le-cortege-d-ultradroite-a-paris-2769770.html)|En Bretagne, An Tour-Tan brandit la culture régionale pour mieux diffuser son néonazisme (https://www.mediapart.fr/journal/france/050124/en-bretagne-tour-tan-brandit-la-culture-regionale-pour-mieux-diffuser-son-neonazisme)",https://cartofaf.streetpress.com/images/groups/an-tour-tan/logo.webp|https://cartofaf.streetpress.com/images/groups/an-tour-tan/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/an-tour-tan/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/an-tour-tan/news/france3.webp|https://cartofaf.streetpress.com/images/groups/an-tour-tan/news/mediapart.webp
Animus fortis,https://cartofaf.streetpress.com/liste/animus-fortis/,"Animus fortis est un groupuscule nationaliste-révolutionnaire classique situé à Bourges (Cher) et les villes des environs (Saint-Amand Montrond, Saint-Florent sur Cher...). Sa principale activité reste l’organisation de conférences au sein de son local, ainsi que des collages d’affiches dans la métropole de Bourges. Le groupuscule se rend tous les ans à la manifestation néofasciste du Comité du 9 Mai, ainsi qu’à l’université d’été d’Academia Christiana. Il entretient des liens avec le groupe tourangeaux des Tours et des Lys ou les Castelroussins de Berry nationaliste, ainsi que les militants des différents groupuscules d’Angers.

Une grande partie de son activisme entre 2020 et 2022 a été consacrée au rejet des mesures sanitaires entourant la pandémie de Covid-19. Animus fortis cible particulièrement les personnes d’origine afghane, communauté importante dans le Cher. Ses actions les plus violentes sont revendiquées sous le faux-nez « Schaf crew ».",Entre 10 et 15,Bourges,,"Ils participent chaque année à la manifestation néofasciste du Comité du 9 Mai à Paris, qui commémore la mort d’un militant de leur mouvance.|Ils participent chaque année à l’université d’été du groupe catholique Academia Christiana.",Julien Wallerand,,https://cartofaf.streetpress.com/images/groups/animus-fortis/logo.webp|https://cartofaf.streetpress.com/images/groups/animus-fortis/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/animus-fortis/photos/photo-2.webp
Aquila popularis,https://cartofaf.streetpress.com/liste/aquila-popularis/,"Le groupuscule Aquila Popularis s’est créé à la fin de l’année 2022 et se revendique du nationalisme-révolutionnaire. Ses membres sont, pour certains, issus du groupuscule néonazi violent Zoulous Nice, actif dans la ville jusqu’en 2022, qui était lui-même issu de Nice nationaliste, un groupe qui regroupait les militants identitaires les plus violents. 

À Nice, le groupuscule oscille entre actions d’agit-prop, notamment en hommage à des « victimes de l’immigration » et conférences, quand ses militants ne traînent pas au Club 15.43, le bar repaire de l’extrême droite radicale niçoise. Plusieurs membres du groupuscule font également partie des organisateurs de free fights illégaux au début de l’année 2023 aux Arènes de Cimiez.",Nice,,,,NOMBRE DE MEMBRES — Une vingtaine,,https://cartofaf.streetpress.com/images/groups/aquila-popularis/logo.webp|https://cartofaf.streetpress.com/images/groups/aquila-popularis/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/aquila-popularis/news/streetpress.webp
Argos,https://cartofaf.streetpress.com/liste/argos/,"La dissolution de Génération identitaire en 2021 a mis un coup à la mouvance identitaire, qui a perdu son vaisseau-amiral. Argos est la tentative de retour sous un nouveau nom, mais loin de l’ampleur nationale qu’avait GI, le groupe peine à mobiliser au-delà de quelques actions d’agit-prop ou d’un tournoi annuel de boxe où viennent s’affronter tous les courants de l’extrême droite groupusculaire. Son action la plus médiatisée à ce jour reste le déploiement d’une banderole à Cherbourg devant le domicile d’un homme mis en examen pour viol et torture en septembre 2023. Argos est également derrière le dépôt d’un rassemblement en « hommage » au jeune Thomas tué à Crépol en novembre 2023 où le Gud Paris s’était adonné à quelques saluts nazis, et produit des affiches diffusées dans toute la France à chaque récupération d’un meurtre par l’extrême droite.

Argos a repris les militants de GI, moins ses cadres médiatiques comme Thaïs d’Escufon. Ce qui n’a pas empêché le placement en garde à vue de 15 de ses militants pour reconstitution de ligue dissoute, dont l’ancien porte-parole de GI Jérémie Piano. Aujourd’hui, c’est surtout sur les réseaux sociaux qu’Argos existe, notamment via son porte-parole Benjamin. Ce dernier est toujours en première ligne pour alimenter les polémiques morbides de l’extrême droite qui exploite des faits divers.",Ils ne dépassent pas la soixantaine de membres.,"Internet, Cherbourg, Paris, Metz, Châteauroux, Toulouse, Rouen, Montpellier, Nancy",Ils ont fait une action devant une salle de consommation à moindre risques à Paris en 2022.,,Benjamin « Argos » — Porte-parole,"Argos France, les héritiers de Génération identitaire (https://www.streetpress.com/sujet/1666106342-argos-france-heritiers-generation-identitaire-extreme-droite)|Action d’extrême droite à Cherbourg : le retour sous alias de Génération identitaire (https://www.liberation.fr/politique/action-dextreme-droite-a-cherbourg-le-retour-sous-alias-de-generation-identitaire-20230910_S25OK7NP6ZAIHG3TPPCZE6H52M/)|L’extrême droite radicale se rêve en « Gilets jaunes identitaires » après la mort de Thomas (https://www.streetpress.com/sujet/1701863544-extreme-droite-radicale-gilets-jaunes-identitaires-mort-thomas)|Génération identitaire devenu Argos : 15 gardes à vue pour reconstitution de ligue dissoute après un signalement de Darmanin (https://www.liberation.fr/societe/police-justice/generation-identitaire-interpellation-de-douze-anciens-membres-en-france-20240312_6V6UG3C6ZFALJADBCC3DU37HVA/)",https://cartofaf.streetpress.com/images/groups/argos/logo.webp|https://cartofaf.streetpress.com/images/groups/argos/photos/photo-1.webp|https://cartofaf.streetpress.com/images/groups/argos/photos/photo-2.webp|https://cartofaf.streetpress.com/images/groups/argos/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/argos/news/liberation.webp|https://cartofaf.streetpress.com/images/groups/argos/news/streetpress.webp|https://cartofaf.streetpress.com/images/groups/argos/news/liberation.webp
